"Código CNAE";"Descrição CNAE";"Cód. Subitem LC 116";"Descrição Subitem";
"1081301";"Beneficiamento de café";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1081302";"Torrefação e moagem de café";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1099605";"Fabricação de produtos para infusão (chá, mate, etc.)";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1099699";"Fabricação de outros produtos alimentícios não especificados anteriormente";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1311100";"Preparação e fiação de fibras de algodão";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1312000";"Preparação e fiação de fibras têxteis naturais, exceto algodão";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1340501";"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1340502";"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1340502";"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário";"14.10";"14.10 - Tinturaria e lavanderia.";
"1340599";"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1340599";"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1340599";"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário";"14.10";"14.10 - Tinturaria e lavanderia.";
"1359600";"Fabricação de outros produtos têxteis não especificados anteriormente";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1411801";"Confecção de roupas íntimas";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1411802";"Facção de roupas íntimas";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1412601";"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1412602";"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1412603";"Facção de peças do vestuário, exceto roupas íntimas";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1413402";"Confecção, sob medida, de roupas profissionais";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1413403";"Facção de roupas profissionais";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1421500";"Fabricação de meias";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1510600";"Curtimento e outras preparações de couro";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1531902";"Acabamento de calçados de couro sob contrato";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1531902";"Acabamento de calçados de couro sob contrato";"14.09";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"161001";"Serviço de pulverização e controle de pragas agrícolas";"07.13";"07.13 - Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.";
"161002";"Serviço de poda de árvores para lavouras";"07.11";"07.11 - Decoração e jardinagem, inclusive corte e poda de árvores.";
"161003";"Serviço de preparação de terreno, cultivo e colheita";"07.16";"07.16 - Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.";
"1610205";"Serviço de tratamento de madeira realizado sob contrato";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"161099";"Atividades de apoio à agricultura não especificadas anteriormente";"07.16";"07.16 - Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.";
"161099";"Atividades de apoio à agricultura não especificadas anteriormente";"07.22";"07.22 - Nucleação e bombardeamento de nuvens e congêneres.";
"161099";"Atividades de apoio à agricultura não especificadas anteriormente";"17.04";"17.04 - Recrutamento, agenciamento, seleção e colocação de mão-de-obra.";
"161099";"Atividades de apoio à agricultura não especificadas anteriormente";"17.05";"17.05 - Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.";
"1622699";"Fabricação de outros artigos de carpintaria para construção";"14.13";"14.13 - Carpintaria e serralheria.";
"162801";"Serviço de inseminação artificial em animais";"05.04";"05.04 - Inseminação artificial, fertilização in vitro e congêneres.";
"162802";"Serviço de tosquiamento de ovinos";"05.08";"05.08 - Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.";
"162803";"Serviço de manejo de animais";"05.08";"05.08 - Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.";
"162899";"Atividades de apoio à pecuária não especificadas anteriormente";"05.08";"05.08 - Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.";
"162899";"Atividades de apoio à pecuária não especificadas anteriormente";"07.10";"07.10 - Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.";
"162899";"Atividades de apoio à pecuária não especificadas anteriormente";"07.13";"07.13 - Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.";
"162899";"Atividades de apoio à pecuária não especificadas anteriormente";"17.04";"17.04 - Recrutamento, agenciamento, seleção e colocação de mão-de-obra.";
"162899";"Atividades de apoio à pecuária não especificadas anteriormente";"17.05";"17.05 - Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.";
"1629301";"Fabricação de artefatos diversos de madeira, exceto móveis";"14.13";"14.13 - Carpintaria e serralheria.";
"163600";"Atividades de pós-colheita";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1811301";"Impressão de jornais";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1811302";"Impressão de livros, revistas e outras publicações periódicas";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1812100";"Impressão de material de segurança";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1813001";"Impressão de material para uso publicitário";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1813099";"Impressão de material para outros usos";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1821100";"Serviços de pré-impressão";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1822901";"Serviços de encadernação e plastificação";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"1822901";"Serviços de encadernação e plastificação";"14.08";"14.08 - Encadernação, gravação e douração de livros, revistas e congêneres.";
"1822999";"Serviços de acabamentos gráficos, exceto encadernação e plastificação";"13.05";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1830001";"Reprodução de som em qualquer suporte";"13.02";"13.02 - Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.";
"1830002";"Reprodução de vídeo em qualquer suporte";"13.02";"13.02 - Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.";
"1830002";"Reprodução de vídeo em qualquer suporte";"13.03";"13.03 - Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.";
"1830003";"Reprodução de software em qualquer suporte";"01.07";"01.07 - Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.";
"1922502";"Rerrefino de óleos lubrificantes";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"210107";"Extração de madeira em florestas plantadas";"07.16";"07.16 - Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.";
"2121101";"Fabricação de medicamentos alopáticos para uso humano";"04.07";"04.07 - Serviços farmacêuticos.";
"2121102";"Fabricação de medicamentos homeopáticos para uso humano";"04.07";"04.07 - Serviços farmacêuticos.";
"2121103";"Fabricação de medicamentos fitoterápicos para uso humano";"04.07";"04.07 - Serviços farmacêuticos.";
"2122000";"Fabricação de medicamentos para uso veterinário";"04.07";"04.07 - Serviços farmacêuticos.";
"220901";"Extração de madeira em florestas nativas";"07.16";"07.16 - Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.";
"220906";"Conservação de florestas nativas";"07.16";"07.16 - Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.";
"2212900";"Reforma de pneumáticos usados";"14.04";"14.04 - Recauchutagem ou regeneração de pneus.";
"2219600";"Fabricação de artefatos de borracha não especificados anteriormente";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2229399";"Fabricação de artefatos de material plástico para outros usos não especificados anteriormente";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"230600";"Atividades de apoio à produção florestal";"07.13";"07.13 - Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.";
"230600";"Atividades de apoio à produção florestal";"07.16";"07.16 - Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.";
"230600";"Atividades de apoio à produção florestal";"11.04";"11.04 - Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.";
"230600";"Atividades de apoio à produção florestal";"16.01";"16.01 - Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros.";
"230600";"Atividades de apoio à produção florestal";"16.02";"16.02 - Outros serviços de transporte de natureza municipal.";
"230600";"Atividades de apoio à produção florestal";"17.01";"17.01 - Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.";
"230600";"Atividades de apoio à produção florestal";"28.01";"28.01 - Serviços de avaliação de bens e serviços de qualquer natureza.";
"2330301";"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda";"07.02";"07.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).";
"2330304";"Fabricação de casas pré-moldadas de concreto";"07.02";"07.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).";
"2330305";"Preparação de massa de concreto e argamassa para construção";"07.02";"07.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).";
"2391503";"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras";"07.06";"07.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.";
"2391503";"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2392300";"Fabricação de cal e gesso";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2399101";"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2399101";"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal";"39.01";"39.01 - Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).";
"2399199";"Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2512800";"Fabricação de esquadrias de metal";"14.13";"14.13 - Carpintaria e serralheria.";
"2532201";"Produção de artefatos estampados de metal";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2539001";"Serviços de usinagem, tornearia e solda";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2539002";"Serviços de tratamento e revestimento em metais";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2542000";"Fabricação de artigos de serralheria, exceto esquadrias";"14.13";"14.13 - Carpintaria e serralheria.";
"2543800";"Fabricação de ferramentas";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2599301";"Serviços de confecção de armações metálicas para a construção";"07.02";"07.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).";
"2599302";"Serviço de corte e dobra de metais";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2599399";"Fabricação de outros produtos de metal não especificados anteriormente";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2610800";"Fabricação de componentes eletrônicos";"14.06";"14.06 - Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.";
"2722802";"Recondicionamento de baterias e acumuladores para veículos automotores";"14.01";"14.01 - Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";
"2722802";"Recondicionamento de baterias e acumuladores para veículos automotores";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"2930103";"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus";"14.01";"14.01 - Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";
"2950600";"Recondicionamento e recuperação de motores para veículos automotores";"14.03";"14.03 - Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";
"3101200";"Fabricação de móveis com predominância de madeira";"14.13";"14.13 - Carpintaria e serralheria.";
"311604";"Atividades de apoio à pesca em água salgada";"17.01";"17.01 - Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.";
"312404";"Atividades de apoio à pesca em água doce";"17.01";"17.01 - Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.";
"3211601";"Lapidação de gemas";"39.01";"39.01 - Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).";
"321305";"Atividades de apoio à aqüicultura em água salgada e salobra";"17.01";"17.01 - Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.";
"322107";"Atividades de apoio à aqüicultura em água doce";"17.01";"17.01 - Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.";
"3250703";"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda";"04.14";"04.14 - Próteses sob encomenda.";
"3250706";"Serviços de prótese dentária";"04.14";"04.14 - Próteses sob encomenda.";
"3250707";"Fabricação de artigos ópticos";"14.06";"14.06 - Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.";
"3250709";"Serviço de laboratório óptico";"14.05";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";
"3299003";"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos";"24.01";"24.01 - Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.";
"3299004";"Fabricação de painéis e letreiros luminosos";"24.01";"24.01 - Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.";
"3311200";"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos";"07.10";"07.10 - Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.";
"3311200";"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos";"14.01";"14.01 - Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";
